code,ciudad,fecha_datos,url,Fecha,Temperatura,Clima,Viento
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Martes, 7 enero",15°/8°,Lluvia moderada,31Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Miércoles, 8 enero",14°/12°,Lluvia moderada,31Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Jueves, 9 enero",13°/9°,Ligeras precipitaciones,14Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Viernes, 10 enero",11°/7°,Llovizna,8Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Sábado, 11 enero",14°/9°,Despejado,7Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Domingo, 12 enero",14°/8°,Despejado,5Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Lunes, 13 enero",12°/9°,Ligeras precipitaciones,18Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Martes, 14 enero",11°/8°,Lluvia moderada a intervalos,14Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Miércoles, 15 enero",12°/7°,Cielo cubierto,4Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Jueves, 16 enero",12°/7°,Parcialmente nublado,7Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Viernes, 17 enero",12°/6°,Parcialmente nublado,8Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Sábado, 18 enero",12°/6°,Despejado,9Km/h
LCG,A Coruña,2025-01-07,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Domingo, 19 enero",6°/6°,Parcialmente nublado,9Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Martes, 7 enero",7°/2°,Cielo cubierto,15Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Miércoles, 8 enero",11°/6°,Llovizna,19Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Jueves, 9 enero",10°/7°,Lluvia moderada a intervalos,18Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Viernes, 10 enero",12°/7°,Despejado,5Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Sábado, 11 enero",13°/5°,Parcialmente nublado,10Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Domingo, 12 enero",11°/3°,Parcialmente nublado,5Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Lunes, 13 enero",7°/4°,Llovizna,9Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Martes, 14 enero",10°/2°,Parcialmente nublado,4Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Miércoles, 15 enero",10°/3°,Parcialmente nublado,7Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Jueves, 16 enero",10°/6°,Lluvia moderada a intervalos,9Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Viernes, 17 enero",8°/7°,Ligeras precipitaciones,9Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Sábado, 18 enero",10°/6°,Lluvia moderada a intervalos,6Km/h
MAD,Madrid,2025-01-07,https://www.tiempo3.com/europe/spain/madrid?page=14,"Domingo, 19 enero",3°/0°,Parcialmente nublado,10Km/h
BIO,Bilbao,2025-01-07,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Martes, 7 enero",13°/4°,Lluvia moderada a intervalos,14Km/h
