ciudad,fecha_datos,url,Fecha,Temperatura,Clima,Viento
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Miércoles, 12 febrero",19°/18°,Lluvia moderada a intervalos,17Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Jueves, 13 febrero",19°/18°,Cielo cubierto,15Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Viernes, 14 febrero",19°/18°,Despejado,11Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Sábado, 15 febrero",19°/18°,Lluvia moderada a intervalos,27Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Domingo, 16 febrero",18°/17°,Despejado,15Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Lunes, 17 febrero",18°/17°,Parcialmente nublado,23Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Martes, 18 febrero",19°/18°,Lluvia moderada a intervalos,35Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Miércoles, 19 febrero",18°/17°,Lluvia moderada a intervalos,19Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Jueves, 20 febrero",17°/16°,Despejado,14Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Viernes, 21 febrero",19°/17°,Despejado,21Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Sábado, 22 febrero",19°/17°,Despejado,10Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Domingo, 23 febrero",17°/17°,Despejado,7Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Lunes, 24 febrero",18°/17°,Cielo cubierto,9Km/h
La Gomera,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/la-gomera?page=14,"Martes, 25 febrero",18°/17°,Lluvia moderada a intervalos,37Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Miércoles, 12 febrero",16°/10°,Parcialmente nublado,9Km/h
