iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
LCG,A Coruña,1/01/2024,12.3°,9°,"6,4 mm",21.5 Km/h,76.5 %
LCG,A Coruña,2/01/2024,12.7°,8.8°,"6,1 mm",21.2 Km/h,81.8 %
LCG,A Coruña,3/01/2024,12.7°,8.3°,"2,2 mm",20.7 Km/h,82.5 %
LCG,A Coruña,4/01/2024,12.5°,7.8°,"5,1 mm",18.5 Km/h,79.7 %
LCG,A Coruña,5/01/2024,11.8°,7.3°,"3,6 mm",14 Km/h,76.2 %
LCG,A Coruña,6/01/2024,11.5°,6.7°,"0,6 mm",16.2 Km/h,79 %
LCG,A Coruña,7/01/2024,11.7°,7.3°,"1,5 mm",20.2 Km/h,78.8 %
LCG,A Coruña,8/01/2024,11.3°,7.7°,"1,7 mm",20.2 Km/h,80.7 %
LCG,A Coruña,9/01/2024,11.5°,8.2°,"1,3 mm",24.8 Km/h,84.2 %
LCG,A Coruña,10/01/2024,11.7°,8.5°,"1,1 mm",23 Km/h,80.7 %
LCG,A Coruña,11/01/2024,11°,7.3°,"0,7 mm",20.8 Km/h,77.2 %
LCG,A Coruña,12/01/2024,11.7°,6.5°,"0,2 mm",18.7 Km/h,78 %
LCG,A Coruña,13/01/2024,12.7°,7.3°,"1,3 mm",19.7 Km/h,78.3 %
LCG,A Coruña,14/01/2024,13.2°,8.5°,"4,8 mm",20.8 Km/h,82.8 %
LCG,A Coruña,15/01/2024,12.3°,8°,"6,7 mm",18.8 Km/h,79.7 %
LCG,A Coruña,16/01/2024,13.4°,8.8°,"14,2 mm",21.4 Km/h,82 %
LCG,A Coruña,17/01/2024,12.2°,8.8°,"3,1 mm",25 Km/h,79.2 %
LCG,A Coruña,18/01/2024,11.8°,8°,"5,4 mm",24.5 Km/h,80.2 %
LCG,A Coruña,19/01/2024,10.8°,7°,"7,6 mm",29 Km/h,78.8 %
LCG,A Coruña,20/01/2024,11.5°,7.8°,7 mm,28.5 Km/h,80.8 %
LCG,A Coruña,21/01/2024,12°,8.5°,"2,6 mm",30.2 Km/h,79.2 %
LCG,A Coruña,22/01/2024,11.7°,7.8°,"8,4 mm",29.3 Km/h,78.7 %
LCG,A Coruña,23/01/2024,12.5°,8°,"7,6 mm",22.5 Km/h,82.2 %
LCG,A Coruña,24/01/2024,12°,8.2°,"2,7 mm",15.8 Km/h,82.2 %
LCG,A Coruña,25/01/2024,12.5°,8.3°,4 mm,13.2 Km/h,82.3 %
LCG,A Coruña,26/01/2024,12.5°,8°,"1,4 mm",22.2 Km/h,84.8 %
LCG,A Coruña,27/01/2024,13.2°,9.2°,"2,8 mm",22.2 Km/h,78.5 %
LCG,A Coruña,28/01/2024,13°,8.8°,"4,5 mm",21.7 Km/h,79.3 %
LCG,A Coruña,29/01/2024,13.2°,9°,"12,2 mm",25.2 Km/h,79.8 %
LCG,A Coruña,30/01/2024,13.2°,7.2°,"9,3 mm",24.2 Km/h,80.5 %
LCG,A Coruña,31/01/2024,13.8°,8.8°,"6,5 mm",24.2 Km/h,84.2 %
LCG,A Coruña,1/02/2024,13.8°,9.2°,9 mm,24.8 Km/h,82 %
LCG,A Coruña,2/02/2024,14°,8.8°,"11,7 mm",23.8 Km/h,78.8 %
LCG,A Coruña,3/02/2024,13.7°,8.3°,"2,6 mm",17.8 Km/h,77.3 %
LCG,A Coruña,4/02/2024,13°,8.8°,"0,9 mm",15.3 Km/h,79.2 %
LCG,A Coruña,5/02/2024,13.3°,8.3°,"0,3 mm",19.8 Km/h,81.5 %
LCG,A Coruña,6/02/2024,13°,7°,"1,1 mm",18.8 Km/h,78.2 %
LCG,A Coruña,7/02/2024,12.8°,7.5°,"3,1 mm",26 Km/h,80 %
LCG,A Coruña,8/02/2024,12.8°,8°,"8,1 mm",26 Km/h,78.7 %
LCG,A Coruña,9/02/2024,13.3°,8.5°,"9,4 mm",26 Km/h,79.8 %
LCG,A Coruña,10/02/2024,12.3°,8°,"5,1 mm",26.5 Km/h,78.3 %
LCG,A Coruña,11/02/2024,12.3°,7.3°,"7,5 mm",18 Km/h,81.8 %
LCG,A Coruña,12/02/2024,14°,8°,"2,9 mm",17.7 Km/h,79 %
LCG,A Coruña,13/02/2024,14.3°,9.2°,2 mm,20.5 Km/h,80.3 %
LCG,A Coruña,14/02/2024,15.5°,10.3°,"0,9 mm",19.2 Km/h,76.2 %
LCG,A Coruña,15/02/2024,14.5°,10°,"1,1 mm",19.8 Km/h,76.7 %
LCG,A Coruña,16/02/2024,14.8°,10.3°,"4,6 mm",20.2 Km/h,82.3 %
LCG,A Coruña,17/02/2024,13.8°,9°,"4,2 mm",17.2 Km/h,80.3 %
LCG,A Coruña,18/02/2024,13.3°,8.8°,"5,2 mm",15.8 Km/h,79.5 %
LCG,A Coruña,19/02/2024,13.2°,7.7°,"1,5 mm",18.7 Km/h,78.2 %
LCG,A Coruña,20/02/2024,14°,8.2°,"10,4 mm",17.7 Km/h,82 %
LCG,A Coruña,21/02/2024,13.8°,9.3°,"1,5 mm",19.2 Km/h,82 %
LCG,A Coruña,22/02/2024,13.8°,8.3°,"3,2 mm",18.8 Km/h,77.3 %
LCG,A Coruña,23/02/2024,13.2°,8.3°,"3,3 mm",21 Km/h,74.3 %
LCG,A Coruña,24/02/2024,13.8°,8.7°,"3,8 mm",22.5 Km/h,76.8 %
LCG,A Coruña,25/02/2024,13°,7.2°,9 mm,22.6 Km/h,79 %
LCG,A Coruña,26/02/2024,13.5°,7.7°,"1,9 mm",21.7 Km/h,75.2 %
LCG,A Coruña,27/02/2024,13.2°,8.5°,"0,2 mm",22.5 Km/h,74.5 %
LCG,A Coruña,28/02/2024,13°,7.8°,"2,4 mm",20 Km/h,78 %
LCG,A Coruña,29/02/2024,10.5°,8.5°,"14,7 mm",36.5 Km/h,78.5 %
LCG,A Coruña,1/03/2024,12.5°,8°,6 mm,24.2 Km/h,82.7 %
LCG,A Coruña,2/03/2024,12.8°,7.8°,"9,4 mm",24.3 Km/h,81.5 %
LCG,A Coruña,3/03/2024,12.8°,7.8°,"5,9 mm",26.8 Km/h,82 %
LCG,A Coruña,4/03/2024,13.5°,8.7°,"3,8 mm",25.2 Km/h,77.7 %
LCG,A Coruña,5/03/2024,12.3°,7.8°,"8,8 mm",24.5 Km/h,78.3 %
LCG,A Coruña,6/03/2024,11.3°,7.7°,"8,8 mm",26.2 Km/h,78 %
LCG,A Coruña,7/03/2024,12°,7°,"4,1 mm",25.8 Km/h,78.5 %
LCG,A Coruña,8/03/2024,11.8°,8.3°,"6,9 mm",26.8 Km/h,80.7 %
LCG,A Coruña,9/03/2024,13°,8.2°,"6,5 mm",26.2 Km/h,79.7 %
LCG,A Coruña,10/03/2024,13.5°,8.8°,"3,4 mm",25.2 Km/h,84.5 %
LCG,A Coruña,11/03/2024,13.2°,9.7°,7 mm,21.5 Km/h,84 %
LCG,A Coruña,12/03/2024,13.3°,8.7°,"2,6 mm",23.5 Km/h,82 %
LCG,A Coruña,13/03/2024,12.7°,8.2°,"3,4 mm",23 Km/h,77.7 %
LCG,A Coruña,14/03/2024,12.8°,8.3°,"1,7 mm",18.7 Km/h,80.7 %
LCG,A Coruña,15/03/2024,13.7°,8.3°,"2,4 mm",21.2 Km/h,80.8 %
LCG,A Coruña,16/03/2024,13.2°,9°,5 mm,26.5 Km/h,80.5 %
LCG,A Coruña,17/03/2024,13.5°,9.5°,"2,9 mm",26.7 Km/h,79 %
