code,ciudad,fecha_datos,fecha_prevision,t_max,t_min,Clima,Viento
LCG,A Coruña,2025-01-08,2025-01-8,15°,13°,Lluvia moderada,36Km/h
LCG,A Coruña,2025-01-08,2025-01-9,15°,12°,Lluvia moderada a intervalos,23Km/h
LCG,A Coruña,2025-01-08,2025-01-10,15°,14°,Ligeras lluvias,14Km/h
LCG,A Coruña,2025-01-08,2025-01-11,16°,12°,Lluvia moderada a intervalos,4Km/h
LCG,A Coruña,2025-01-08,2025-01-12,15°,9°,Parcialmente nublado,11Km/h
LCG,A Coruña,2025-01-08,2025-01-13,13°,5°,Despejado,14Km/h
LCG,A Coruña,2025-01-08,2025-01-14,10°,3°,Despejado,7Km/h
LCG,A Coruña,2025-01-08,2025-01-15,10°,4°,Parcialmente nublado,6Km/h
LCG,A Coruña,2025-01-08,2025-01-16,11°,5°,Despejado,4Km/h
LCG,A Coruña,2025-01-08,2025-01-17,12°,5°,Despejado,6Km/h
LCG,A Coruña,2025-01-08,2025-01-18,12°,6°,Despejado,5Km/h
LCG,A Coruña,2025-01-08,2025-01-19,12°,6°,Soleado,6Km/h
LCG,A Coruña,2025-01-08,2025-01-20,11°,7°,Parcialmente nublado,7Km/h
LCG,A Coruña,2025-01-08,2025-01-21,11°,8°,Lluvia moderada a intervalos,17Km/h
MAD,Madrid,2025-01-08,2025-01-8,11°,6°,Lluvia moderada a intervalos,18Km/h
MAD,Madrid,2025-01-08,2025-01-9,13°,7°,Parcialmente nublado,9Km/h
MAD,Madrid,2025-01-08,2025-01-10,13°,5°,Neblina,6Km/h
MAD,Madrid,2025-01-08,2025-01-11,16°,8°,Llovizna,7Km/h
MAD,Madrid,2025-01-08,2025-01-12,13°,6°,Despejado,10Km/h
MAD,Madrid,2025-01-08,2025-01-13,10°,1°,Despejado,8Km/h
MAD,Madrid,2025-01-08,2025-01-14,12°,2°,Despejado,10Km/h
MAD,Madrid,2025-01-08,2025-01-15,13°,3°,Despejado,8Km/h
MAD,Madrid,2025-01-08,2025-01-16,12°,4°,Despejado,12Km/h
MAD,Madrid,2025-01-08,2025-01-17,12°,5°,Nublado,5Km/h
MAD,Madrid,2025-01-08,2025-01-18,7°,4°,Ligeras lluvias,17Km/h
MAD,Madrid,2025-01-08,2025-01-19,9°,6°,Lluvia moderada,10Km/h
MAD,Madrid,2025-01-08,2025-01-20,13°,6°,Despejado,9Km/h
